评论id,发布时间,⽤户id,⽤户昵称,ip属地,纬度,经度,点赞数,回复数,评论内容
4.77E+15,Wed May 11 17:20:41 +0800 2022,7748036180,浪漫主义文学,重庆,29.56899625,106.5584342,1173,27,至亲去世的瞬间是没有任何感觉的，待到一切平静，某一个下午，清风拂过窗帘的声音，洗衣机轰隆隆的声音，厨房水壶冒热气的声音，阳光铺进阳台的样子，张口叫人却一愣，这一切都在提醒你，那个人走了巨大的空虚与孤独
4.77E+15,Wed May 11 18:30:57 +0800 2022,2795930217,蜡笔小妞Gretchen,上海,31.23592904,121.4805389,502,22,上海这座城市死了
4.77E+15,Wed May 11 17:24:28 +0800 2022,7691860031,法硕商英建筑天才,江苏,32.06677694,118.7695516,207,0,希望老人健康平安 万事顺遂
4.77E+15,Wed May 11 19:17:09 +0800 2022,2842397570,唤氧鱼,上海,31.23592904,121.4805389,230,9,其实我觉得这种极端的防疫政策 比奥密克戎本身危害性要大得多
4.77E+15,Wed May 11 17:28:26 +0800 2022,3153802264,Da车坙工,江苏,32.06677694,118.7695516,104,1,现实版了《落叶归根》
4.77E+15,Wed May 11 19:59:49 +0800 2022,1962497347,Yumiyyun_,上海,31.23592904,121.4805389,115,4,所以呢这样的新闻报道出来是想说什么呢？背后体现出来的难道不是治理混乱？让一个60岁的老人徒步7小时，一路人上无人问津，这是2022年能发生的事情吗？代入一下自己年迈的长辈亲人就会觉得这是一件多么可怕的事情
4.77E+15,Wed May 11 17:25:50 +0800 2022,6424695520,真baoyang寻金珠,江苏,32.06677694,118.7695516,94,2,真正的爱情是最值得追求的男女关系，可惜大多数人无法遇到真心相爱的那个ta。
4.77E+15,Wed May 11 17:24:27 +0800 2022,5462448458,不要挡镜头,江苏,32.06677694,118.7695516,95,19,认为制造的灾难害了多少人
4.77E+15,Wed May 11 19:41:18 +0800 2022,1119152040,zszang,广东,23.13794856,113.2724289,92,6,上海，不断刷新人性底线。
4.77E+15,Wed May 11 17:09:55 +0800 2022,1205920495,一只小小花呀,黑龙江,29.48708098,106.1364992,60,1,伟大的爱情太感人了
4.77E+15,Wed May 11 18:22:59 +0800 2022,2454027383,Ellaaaaaa_莎莎,上海,31.23592904,121.4805389,78,33,爸爸也是淋巴瘤，4月20号左右医院通知让做好心理准备，我在上海跟居委申请返乡，不同意，非要家乡开接收证明，家乡说不拒收，能回来就按照当地防疫政策7+7隔离。继续跟居委沟通，无果。5月7号爸爸去世，我还被困在上海到现在，都无法见他最后一面，送他最后一程。来这个城市8年了，这次彻底失望了。
4.77E+15,Wed May 11 17:24:54 +0800 2022,6931041835,做一只自律的小狗,江苏,32.06677694,118.7695516,56,36,为什么打不到车，没人管吗
4.77E+15,Wed May 11 17:26:16 +0800 2022,5058107707,G0802W_,江苏,32.06677694,118.7695516,34,1,除非黄土白骨，我守你百岁无忧。
4.77E+15,Wed May 11 17:25:33 +0800 2022,5664051725,陈奕迅老婆呀,江苏,32.06677694,118.7695516,41,0,看哭了，老一辈的爱情还是坚定的
4.77E+15,Wed May 11 17:45:14 +0800 2022,2127238883,Mumu典雅的冰西瓜,江苏,32.06677694,118.7695516,18,0,这种类似的事，不知道发生过多少
